Grievance Title,Brief Summary,Category,Department,Detailed Description,Location / Ward No,Priority Level,Attachment Name,Internal Notes,Date Submitted,Status
"Waste Management Issue at Sector 11, Heritage Colony - 685","Complaint regarding waste management in Sector 11, Heritage Colony.",Waste Management,Sanitation Department,"Illegal burning of waste in the open area of Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Medium,None,Assigned to Sanitation Department team.,2026-02-11,New
"Drainage Issue at Ward 1, Central Zone - 216","Complaint regarding drainage in Ward 1, Central Zone.",Drainage,Municipal Corporation,"Stinking smell from the open drain in Ward 1, Central Zone.","Ward 1, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-07-12,In Progress
"Street Lighting Issue at Garden City, Phase 1 - 256","Complaint regarding street lighting in Garden City, Phase 1.",Street Lighting,Municipal Corporation,"Street lights not working for 39 nights in Garden City, Phase 1.","Garden City, Phase 1",Low,None,Assigned to Municipal Corporation team.,2025-04-15,New
"Roads & Infrastructure Issue at Sector 16, Heritage Colony - 990","Complaint regarding roads & infrastructure in Sector 16, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Road construction halted for 24 months in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Urgent,None,Assigned to Urban Development Authority team.,2025-09-06,New
"Public Safety Issue at Ward 2, Central Zone - 581","Complaint regarding public safety in Ward 2, Central Zone.",Public Safety,Police Department,"Lack of police patrolling observed during night in Ward 2, Central Zone.","Ward 2, Central Zone",High,evidence_840.jpg,Assigned to Police Department team.,2025-11-14,Resolved
"Drainage Issue at Ward 2, Central Zone - 664","Complaint regarding drainage in Ward 2, Central Zone.",Drainage,Public Works Department (PWD),"Stinking smell from the open drain in Ward 2, Central Zone.","Ward 2, Central Zone",Urgent,None,Assigned to Public Works Department (PWD) team.,2026-02-12,New
"Education Issue at Ward 1, Central Zone - 973","Complaint regarding education in Ward 1, Central Zone.",Education,Education Department,"Shortage of teaching staff for 13 semesters in Ward 1, Central Zone.","Ward 1, Central Zone",Urgent,None,Assigned to Education Department team.,2025-06-06,Escalated
"Public Safety Issue at Garden City, Phase 2 - 785","Complaint regarding public safety in Garden City, Phase 2.",Public Safety,Municipal Corporation,"Illegal parking blocking emergency exits in Garden City, Phase 2.","Garden City, Phase 2",Medium,evidence_843.jpg,Assigned to Municipal Corporation team.,2025-08-08,In Progress
"Drainage Issue at Garden City, Phase 2 - 705","Complaint regarding drainage in Garden City, Phase 2.",Drainage,Municipal Corporation,"Main drain choked with plastic waste near Garden City, Phase 2.","Garden City, Phase 2",Medium,None,Assigned to Municipal Corporation team.,2025-08-09,Escalated
"Education Issue at Sector 10, Heritage Colony - 171","Complaint regarding education in Sector 10, Heritage Colony.",Education,Education Department,"School building in Sector 10, Heritage Colony needs urgent structural repairs.","Sector 10, Heritage Colony",Low,None,Assigned to Education Department team.,2025-06-16,Resolved
"Healthcare Issue at Sector 19, Heritage Colony - 400","Complaint regarding healthcare in Sector 19, Heritage Colony.",Healthcare,Municipal Corporation,"Government clinic in Sector 19, Heritage Colony lacks basic medicines.","Sector 19, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-08-19,Escalated
"Healthcare Issue at Garden City, Phase 4 - 742","Complaint regarding healthcare in Garden City, Phase 4.",Healthcare,Municipal Corporation,"Government clinic in Garden City, Phase 4 lacks basic medicines.","Garden City, Phase 4",High,evidence_847.jpg,Assigned to Municipal Corporation team.,2026-01-03,In Progress
"Healthcare Issue at Sector 11, Heritage Colony - 743","Complaint regarding healthcare in Sector 11, Heritage Colony.",Healthcare,Municipal Corporation,"Government clinic in Sector 11, Heritage Colony lacks basic medicines.","Sector 11, Heritage Colony",High,evidence_848.jpg,Assigned to Municipal Corporation team.,2025-04-11,Resolved
"Street Lighting Issue at Sector 11, Heritage Colony - 554","Complaint regarding street lighting in Sector 11, Heritage Colony.",Street Lighting,Municipal Corporation,"Flickering street light causing disturbance in Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Low,evidence_849.jpg,Assigned to Municipal Corporation team.,2025-07-14,In Progress
"Sanitation Issue at Garden City, Phase 2 - 596","Complaint regarding sanitation in Garden City, Phase 2.",Sanitation,Municipal Corporation,"Sewage overflow reported in the back alley of Garden City, Phase 2.","Garden City, Phase 2",Medium,None,Assigned to Municipal Corporation team.,2025-08-24,New
"Drainage Issue at Ward 4, Central Zone - 124","Complaint regarding drainage in Ward 4, Central Zone.",Drainage,Municipal Corporation,"Drain cover missing, posing a risk to children in Ward 4, Central Zone.","Ward 4, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-08-17,In Progress
"Water Supply Issue at Ward 5, Central Zone - 863","Complaint regarding water supply in Ward 5, Central Zone.",Water Supply,Public Works Department (PWD),"Low pressure water being received at Ward 5, Central Zone.","Ward 5, Central Zone",Low,evidence_852.jpg,Assigned to Public Works Department (PWD) team.,2025-12-07,New
"Water Supply Issue at Sector 19, Heritage Colony - 634","Complaint regarding water supply in Sector 19, Heritage Colony.",Water Supply,Public Works Department (PWD),"Low pressure water being received at Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Medium,None,Assigned to Public Works Department (PWD) team.,2025-03-18,Escalated
"Street Lighting Issue at Ward 7, Central Zone - 163","Complaint regarding street lighting in Ward 7, Central Zone.",Street Lighting,Municipal Corporation,"Dark spots on the road due to non-functional lights in Ward 7, Central Zone.","Ward 7, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-06-03,In Progress
"Drainage Issue at Sector 17, Heritage Colony - 686","Complaint regarding drainage in Sector 17, Heritage Colony.",Drainage,Municipal Corporation,"Main drain choked with plastic waste near Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-05-17,In Progress
"Healthcare Issue at Garden City, Phase 2 - 188","Complaint regarding healthcare in Garden City, Phase 2.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Garden City, Phase 2 PHC.","Garden City, Phase 2",Medium,evidence_856.jpg,Assigned to Municipal Corporation team.,2026-03-04,In Progress
"Sanitation Issue at Sector 19, Heritage Colony - 440","Complaint regarding sanitation in Sector 19, Heritage Colony.",Sanitation,Municipal Corporation,"Drainage blockage causing water logging in Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Low,evidence_857.jpg,Assigned to Municipal Corporation team.,2025-11-29,In Progress
"Sanitation Issue at Ward 4, Central Zone - 555","Complaint regarding sanitation in Ward 4, Central Zone.",Sanitation,Municipal Corporation,"Public toilets in Ward 4, Central Zone are extremely dirty and unusable.","Ward 4, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-12-10,New
"Public Safety Issue at Sector 11, Heritage Colony - 585","Complaint regarding public safety in Sector 11, Heritage Colony.",Public Safety,Municipal Corporation,"Increase in petty thefts reported in Sector 11, Heritage Colony after 9 PM.","Sector 11, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-06-16,Escalated
"Public Safety Issue at Sector 13, Heritage Colony - 381","Complaint regarding public safety in Sector 13, Heritage Colony.",Public Safety,Police Department,"Lack of police patrolling observed during night in Sector 13, Heritage Colony.","Sector 13, Heritage Colony",Low,None,Assigned to Police Department team.,2026-02-07,Escalated
"Education Issue at Sector 13, Heritage Colony - 404","Complaint regarding education in Sector 13, Heritage Colony.",Education,Education Department,"Lack of pure drinking water facilities in Sector 13, Heritage Colony primary school.","Sector 13, Heritage Colony",Low,None,Assigned to Education Department team.,2025-11-02,New
"Drainage Issue at Sector 10, Heritage Colony - 759","Complaint regarding drainage in Sector 10, Heritage Colony.",Drainage,Public Works Department (PWD),"Drain cover missing, posing a risk to children in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Urgent,evidence_862.jpg,Assigned to Public Works Department (PWD) team.,2026-01-23,Resolved
"Waste Management Issue at Garden City, Phase 5 - 424","Complaint regarding waste management in Garden City, Phase 5.",Waste Management,Municipal Corporation,"Garbage collection truck hasn't visited Garden City, Phase 5 for a week.","Garden City, Phase 5",Low,evidence_863.jpg,Assigned to Municipal Corporation team.,2025-04-17,Resolved
"Education Issue at Sector 13, Heritage Colony - 414","Complaint regarding education in Sector 13, Heritage Colony.",Education,Urban Development Authority,"School building in Sector 13, Heritage Colony needs urgent structural repairs.","Sector 13, Heritage Colony",High,None,Assigned to Urban Development Authority team.,2025-11-08,Resolved
"Roads & Infrastructure Issue at Sector 19, Heritage Colony - 590","Complaint regarding roads & infrastructure in Sector 19, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Street pavement broken near Sector 19, Heritage Colony.","Sector 19, Heritage Colony",High,None,Assigned to Urban Development Authority team.,2026-02-22,Escalated
"Healthcare Issue at Ward 9, Central Zone - 641","Complaint regarding healthcare in Ward 9, Central Zone.",Healthcare,Health & Family Welfare,"Government clinic in Ward 9, Central Zone lacks basic medicines.","Ward 9, Central Zone",Low,None,Assigned to Health & Family Welfare team.,2026-02-12,New
"Street Lighting Issue at Ward 1, Central Zone - 997","Complaint regarding street lighting in Ward 1, Central Zone.",Street Lighting,Municipal Corporation,"New street light poles installed but not connected in Ward 1, Central Zone.","Ward 1, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-03-07,In Progress
"Education Issue at Ward 7, Central Zone - 103","Complaint regarding education in Ward 7, Central Zone.",Education,Urban Development Authority,"School building in Ward 7, Central Zone needs urgent structural repairs.","Ward 7, Central Zone",Low,None,Assigned to Urban Development Authority team.,2025-11-12,Escalated
"Street Lighting Issue at Ward 9, Central Zone - 974","Complaint regarding street lighting in Ward 9, Central Zone.",Street Lighting,Municipal Corporation,"Flickering street light causing disturbance in Ward 9, Central Zone.","Ward 9, Central Zone",High,evidence_869.jpg,Assigned to Municipal Corporation team.,2025-05-22,Escalated
"Roads & Infrastructure Issue at Garden City, Phase 4 - 536","Complaint regarding roads & infrastructure in Garden City, Phase 4.",Roads & Infrastructure,Public Works Department (PWD),"Street pavement broken near Garden City, Phase 4.","Garden City, Phase 4",Medium,evidence_870.jpg,Assigned to Public Works Department (PWD) team.,2025-05-03,New
"Drainage Issue at Sector 14, Heritage Colony - 605","Complaint regarding drainage in Sector 14, Heritage Colony.",Drainage,Municipal Corporation,"Monsoon preparation for cleaning drains not started in Sector 14, Heritage Colony.","Sector 14, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-08-03,New
"Sanitation Issue at Garden City, Phase 2 - 717","Complaint regarding sanitation in Garden City, Phase 2.",Sanitation,Health & Family Welfare,"Public toilets in Garden City, Phase 2 are extremely dirty and unusable.","Garden City, Phase 2",Medium,None,Assigned to Health & Family Welfare team.,2026-01-18,Resolved
"Roads & Infrastructure Issue at Ward 5, Central Zone - 124","Complaint regarding roads & infrastructure in Ward 5, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Illegal speed breaker installed at Ward 5, Central Zone.","Ward 5, Central Zone",Low,None,Assigned to Urban Development Authority team.,2025-05-27,New
"Roads & Infrastructure Issue at Ward 6, Central Zone - 649","Complaint regarding roads & infrastructure in Ward 6, Central Zone.",Roads & Infrastructure,Public Works Department (PWD),"Road construction halted for 47 months in Ward 6, Central Zone.","Ward 6, Central Zone",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-08-15,Escalated
"Water Supply Issue at Sector 19, Heritage Colony - 255","Complaint regarding water supply in Sector 19, Heritage Colony.",Water Supply,Public Works Department (PWD),"No water supply for the last 48 days in Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,evidence_875.jpg,Assigned to Public Works Department (PWD) team.,2025-03-09,Escalated
"Street Lighting Issue at Garden City, Phase 4 - 401","Complaint regarding street lighting in Garden City, Phase 4.",Street Lighting,Municipal Corporation,"Dark spots on the road due to non-functional lights in Garden City, Phase 4.","Garden City, Phase 4",Low,None,Assigned to Municipal Corporation team.,2025-12-12,In Progress
"Electricity Issue at Sector 14, Heritage Colony - 828","Complaint regarding electricity in Sector 14, Heritage Colony.",Electricity,Urban Development Authority,"Electricity bill incorrectly calculated for Sector 14, Heritage Colony.","Sector 14, Heritage Colony",High,None,Assigned to Urban Development Authority team.,2025-05-15,Resolved
"Sanitation Issue at Sector 16, Heritage Colony - 160","Complaint regarding sanitation in Sector 16, Heritage Colony.",Sanitation,Municipal Corporation,"Sewage overflow reported in the back alley of Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-09-04,Escalated
"Healthcare Issue at Ward 3, Central Zone - 910","Complaint regarding healthcare in Ward 3, Central Zone.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Ward 3, Central Zone PHC.","Ward 3, Central Zone",Medium,evidence_879.jpg,Assigned to Municipal Corporation team.,2025-11-25,New
"Drainage Issue at Sector 19, Heritage Colony - 357","Complaint regarding drainage in Sector 19, Heritage Colony.",Drainage,Public Works Department (PWD),"Monsoon preparation for cleaning drains not started in Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,evidence_880.jpg,Assigned to Public Works Department (PWD) team.,2026-01-17,Resolved
"Drainage Issue at Garden City, Phase 3 - 425","Complaint regarding drainage in Garden City, Phase 3.",Drainage,Public Works Department (PWD),"Main drain choked with plastic waste near Garden City, Phase 3.","Garden City, Phase 3",High,evidence_881.jpg,Assigned to Public Works Department (PWD) team.,2025-11-23,New
"Public Safety Issue at Ward 10, Central Zone - 775","Complaint regarding public safety in Ward 10, Central Zone.",Public Safety,Municipal Corporation,"Increase in petty thefts reported in Ward 10, Central Zone after 9 PM.","Ward 10, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-04-26,In Progress
"Sanitation Issue at Sector 16, Heritage Colony - 270","Complaint regarding sanitation in Sector 16, Heritage Colony.",Sanitation,Municipal Corporation,"Public toilets in Sector 16, Heritage Colony are extremely dirty and unusable.","Sector 16, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-11-30,Escalated
"Sanitation Issue at Sector 17, Heritage Colony - 977","Complaint regarding sanitation in Sector 17, Heritage Colony.",Sanitation,Health & Family Welfare,"Drainage blockage causing water logging in Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Medium,evidence_884.jpg,Assigned to Health & Family Welfare team.,2026-03-04,Resolved
"Roads & Infrastructure Issue at Ward 9, Central Zone - 928","Complaint regarding roads & infrastructure in Ward 9, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Street pavement broken near Ward 9, Central Zone.","Ward 9, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-03-27,Resolved
"Drainage Issue at Garden City, Phase 2 - 904","Complaint regarding drainage in Garden City, Phase 2.",Drainage,Municipal Corporation,"Drain cover missing, posing a risk to children in Garden City, Phase 2.","Garden City, Phase 2",Medium,evidence_886.jpg,Assigned to Municipal Corporation team.,2026-02-20,New
"Street Lighting Issue at Garden City, Phase 5 - 143","Complaint regarding street lighting in Garden City, Phase 5.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Garden City, Phase 5.","Garden City, Phase 5",Low,None,Assigned to Electricity Board team.,2025-11-20,New
"Electricity Issue at Ward 4, Central Zone - 490","Complaint regarding electricity in Ward 4, Central Zone.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Ward 4, Central Zone.","Ward 4, Central Zone",Medium,evidence_888.jpg,Assigned to Urban Development Authority team.,2026-02-23,Resolved
"Electricity Issue at Garden City, Phase 2 - 220","Complaint regarding electricity in Garden City, Phase 2.",Electricity,Electricity Board,"Electricity bill incorrectly calculated for Garden City, Phase 2.","Garden City, Phase 2",High,None,Assigned to Electricity Board team.,2025-06-30,Resolved
"Drainage Issue at Sector 11, Heritage Colony - 751","Complaint regarding drainage in Sector 11, Heritage Colony.",Drainage,Municipal Corporation,"Monsoon preparation for cleaning drains not started in Sector 11, Heritage Colony.","Sector 11, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2025-10-26,New
"Roads & Infrastructure Issue at Sector 18, Heritage Colony - 393","Complaint regarding roads & infrastructure in Sector 18, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Road construction halted for 8 months in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Low,None,Assigned to Urban Development Authority team.,2025-12-21,In Progress
"Electricity Issue at Ward 10, Central Zone - 859","Complaint regarding electricity in Ward 10, Central Zone.",Electricity,Electricity Board,"Street pole spark observed near Ward 10, Central Zone.","Ward 10, Central Zone",Low,evidence_892.jpg,Assigned to Electricity Board team.,2026-01-04,Resolved
"Drainage Issue at Ward 6, Central Zone - 606","Complaint regarding drainage in Ward 6, Central Zone.",Drainage,Public Works Department (PWD),"Stinking smell from the open drain in Ward 6, Central Zone.","Ward 6, Central Zone",High,None,Assigned to Public Works Department (PWD) team.,2026-01-04,New
"Sanitation Issue at Ward 5, Central Zone - 173","Complaint regarding sanitation in Ward 5, Central Zone.",Sanitation,Municipal Corporation,"Sewage overflow reported in the back alley of Ward 5, Central Zone.","Ward 5, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-07-10,In Progress
"Healthcare Issue at Sector 12, Heritage Colony - 275","Complaint regarding healthcare in Sector 12, Heritage Colony.",Healthcare,Health & Family Welfare,"Emergency ambulance delayed by 50 hours for Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Urgent,evidence_895.jpg,Assigned to Health & Family Welfare team.,2025-03-28,New
"Water Supply Issue at Sector 17, Heritage Colony - 443","Complaint regarding water supply in Sector 17, Heritage Colony.",Water Supply,Public Works Department (PWD),"Low pressure water being received at Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Low,evidence_896.jpg,Assigned to Public Works Department (PWD) team.,2025-11-15,New
"Electricity Issue at Ward 4, Central Zone - 892","Complaint regarding electricity in Ward 4, Central Zone.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Ward 4, Central Zone.","Ward 4, Central Zone",High,None,Assigned to Urban Development Authority team.,2025-12-31,Resolved
"Waste Management Issue at Ward 8, Central Zone - 589","Complaint regarding waste management in Ward 8, Central Zone.",Waste Management,Sanitation Department,"Garbage collection truck hasn't visited Ward 8, Central Zone for a week.","Ward 8, Central Zone",Urgent,evidence_898.jpg,Assigned to Sanitation Department team.,2025-04-18,New
"Public Safety Issue at Garden City, Phase 2 - 348","Complaint regarding public safety in Garden City, Phase 2.",Public Safety,Police Department,"Increase in petty thefts reported in Garden City, Phase 2 after 9 PM.","Garden City, Phase 2",Medium,None,Assigned to Police Department team.,2025-07-14,In Progress
"Sanitation Issue at Sector 15, Heritage Colony - 130","Complaint regarding sanitation in Sector 15, Heritage Colony.",Sanitation,Health & Family Welfare,"Drainage blockage causing water logging in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Medium,None,Assigned to Health & Family Welfare team.,2025-07-13,Resolved
"Waste Management Issue at Garden City, Phase 5 - 242","Complaint regarding waste management in Garden City, Phase 5.",Waste Management,Sanitation Department,"Illegal burning of waste in the open area of Garden City, Phase 5.","Garden City, Phase 5",High,None,Assigned to Sanitation Department team.,2025-09-20,In Progress
"Public Safety Issue at Sector 10, Heritage Colony - 843","Complaint regarding public safety in Sector 10, Heritage Colony.",Public Safety,Police Department,"Stray animal menace in the parks of Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Low,None,Assigned to Police Department team.,2025-05-27,In Progress
"Education Issue at Garden City, Phase 2 - 250","Complaint regarding education in Garden City, Phase 2.",Education,Education Department,"Illegal encroachments near the playground of Garden City, Phase 2 school.","Garden City, Phase 2",High,evidence_903.jpg,Assigned to Education Department team.,2025-12-24,In Progress
"Education Issue at Ward 7, Central Zone - 379","Complaint regarding education in Ward 7, Central Zone.",Education,Urban Development Authority,"School building in Ward 7, Central Zone needs urgent structural repairs.","Ward 7, Central Zone",Urgent,None,Assigned to Urban Development Authority team.,2025-11-19,In Progress
"Public Safety Issue at Garden City, Phase 3 - 225","Complaint regarding public safety in Garden City, Phase 3.",Public Safety,Municipal Corporation,"Illegal parking blocking emergency exits in Garden City, Phase 3.","Garden City, Phase 3",High,None,Assigned to Municipal Corporation team.,2025-03-27,Resolved
"Electricity Issue at Ward 3, Central Zone - 104","Complaint regarding electricity in Ward 3, Central Zone.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Ward 3, Central Zone.","Ward 3, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-06-06,Resolved
"Waste Management Issue at Sector 13, Heritage Colony - 211","Complaint regarding waste management in Sector 13, Heritage Colony.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Sector 13, Heritage Colony.","Sector 13, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-11-02,Escalated
"Roads & Infrastructure Issue at Ward 1, Central Zone - 704","Complaint regarding roads & infrastructure in Ward 1, Central Zone.",Roads & Infrastructure,Public Works Department (PWD),"Illegal speed breaker installed at Ward 1, Central Zone.","Ward 1, Central Zone",Medium,evidence_908.jpg,Assigned to Public Works Department (PWD) team.,2025-04-30,Resolved
"Roads & Infrastructure Issue at Sector 10, Heritage Colony - 843","Complaint regarding roads & infrastructure in Sector 10, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Road construction halted for 6 months in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Urgent,None,Assigned to Urban Development Authority team.,2025-10-01,New
"Drainage Issue at Ward 9, Central Zone - 100","Complaint regarding drainage in Ward 9, Central Zone.",Drainage,Municipal Corporation,"Main drain choked with plastic waste near Ward 9, Central Zone.","Ward 9, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-12-03,New
"Waste Management Issue at Sector 11, Heritage Colony - 583","Complaint regarding waste management in Sector 11, Heritage Colony.",Waste Management,Municipal Corporation,"Biomedical waste found dumped in the residential area of Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-09-07,Escalated
"Water Supply Issue at Garden City, Phase 3 - 565","Complaint regarding water supply in Garden City, Phase 3.",Water Supply,Municipal Corporation,"Contaminated water with foul smell reported at Garden City, Phase 3.","Garden City, Phase 3",Urgent,None,Assigned to Municipal Corporation team.,2025-11-01,Escalated
"Electricity Issue at Sector 13, Heritage Colony - 903","Complaint regarding electricity in Sector 13, Heritage Colony.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Sector 13, Heritage Colony.","Sector 13, Heritage Colony",High,None,Assigned to Urban Development Authority team.,2026-01-11,New
"Water Supply Issue at Sector 19, Heritage Colony - 410","Complaint regarding water supply in Sector 19, Heritage Colony.",Water Supply,Municipal Corporation,"No water supply for the last 10 days in Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-04-24,Escalated
"Sanitation Issue at Ward 4, Central Zone - 558","Complaint regarding sanitation in Ward 4, Central Zone.",Sanitation,Municipal Corporation,"Illegal dumping of construction waste in Ward 4, Central Zone.","Ward 4, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-07-20,Escalated
"Education Issue at Sector 12, Heritage Colony - 920","Complaint regarding education in Sector 12, Heritage Colony.",Education,Urban Development Authority,"School building in Sector 12, Heritage Colony needs urgent structural repairs.","Sector 12, Heritage Colony",Urgent,evidence_916.jpg,Assigned to Urban Development Authority team.,2025-10-16,New
"Electricity Issue at Sector 15, Heritage Colony - 345","Complaint regarding electricity in Sector 15, Heritage Colony.",Electricity,Urban Development Authority,"Electricity bill incorrectly calculated for Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Low,None,Assigned to Urban Development Authority team.,2025-06-19,Resolved
"Waste Management Issue at Sector 14, Heritage Colony - 571","Complaint regarding waste management in Sector 14, Heritage Colony.",Waste Management,Municipal Corporation,"Garbage collection truck hasn't visited Sector 14, Heritage Colony for a week.","Sector 14, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-11-18,Escalated
"Waste Management Issue at Sector 13, Heritage Colony - 448","Complaint regarding waste management in Sector 13, Heritage Colony.",Waste Management,Municipal Corporation,"Illegal burning of waste in the open area of Sector 13, Heritage Colony.","Sector 13, Heritage Colony",Medium,evidence_919.jpg,Assigned to Municipal Corporation team.,2025-08-26,Escalated
"Sanitation Issue at Ward 9, Central Zone - 358","Complaint regarding sanitation in Ward 9, Central Zone.",Sanitation,Health & Family Welfare,"Sewage overflow reported in the back alley of Ward 9, Central Zone.","Ward 9, Central Zone",Low,evidence_920.jpg,Assigned to Health & Family Welfare team.,2025-09-08,Resolved
"Roads & Infrastructure Issue at Ward 9, Central Zone - 245","Complaint regarding roads & infrastructure in Ward 9, Central Zone.",Roads & Infrastructure,Public Works Department (PWD),"Road construction halted for 9 months in Ward 9, Central Zone.","Ward 9, Central Zone",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-12-17,Escalated
"Roads & Infrastructure Issue at Ward 5, Central Zone - 588","Complaint regarding roads & infrastructure in Ward 5, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Illegal speed breaker installed at Ward 5, Central Zone.","Ward 5, Central Zone",High,None,Assigned to Urban Development Authority team.,2025-07-18,New
"Public Safety Issue at Ward 5, Central Zone - 634","Complaint regarding public safety in Ward 5, Central Zone.",Public Safety,Municipal Corporation,"Increase in petty thefts reported in Ward 5, Central Zone after 9 PM.","Ward 5, Central Zone",Low,None,Assigned to Municipal Corporation team.,2026-01-07,Resolved
"Water Supply Issue at Ward 9, Central Zone - 424","Complaint regarding water supply in Ward 9, Central Zone.",Water Supply,Public Works Department (PWD),"Contaminated water with foul smell reported at Ward 9, Central Zone.","Ward 9, Central Zone",Low,None,Assigned to Public Works Department (PWD) team.,2025-12-25,New
"Roads & Infrastructure Issue at Garden City, Phase 1 - 768","Complaint regarding roads & infrastructure in Garden City, Phase 1.",Roads & Infrastructure,Public Works Department (PWD),"Illegal speed breaker installed at Garden City, Phase 1.","Garden City, Phase 1",Low,None,Assigned to Public Works Department (PWD) team.,2025-11-25,Escalated
"Waste Management Issue at Ward 10, Central Zone - 394","Complaint regarding waste management in Ward 10, Central Zone.",Waste Management,Municipal Corporation,"Biomedical waste found dumped in the residential area of Ward 10, Central Zone.","Ward 10, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-11-06,Resolved
"Street Lighting Issue at Sector 19, Heritage Colony - 321","Complaint regarding street lighting in Sector 19, Heritage Colony.",Street Lighting,Electricity Board,"Flickering street light causing disturbance in Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,None,Assigned to Electricity Board team.,2026-02-13,Resolved
"Drainage Issue at Ward 7, Central Zone - 447","Complaint regarding drainage in Ward 7, Central Zone.",Drainage,Municipal Corporation,"Drain cover missing, posing a risk to children in Ward 7, Central Zone.","Ward 7, Central Zone",Medium,evidence_928.jpg,Assigned to Municipal Corporation team.,2025-04-27,In Progress
"Healthcare Issue at Sector 13, Heritage Colony - 885","Complaint regarding healthcare in Sector 13, Heritage Colony.",Healthcare,Health & Family Welfare,"Long waiting hours and no doctors available in Sector 13, Heritage Colony PHC.","Sector 13, Heritage Colony",Medium,evidence_929.jpg,Assigned to Health & Family Welfare team.,2025-11-14,In Progress
"Education Issue at Garden City, Phase 5 - 631","Complaint regarding education in Garden City, Phase 5.",Education,Education Department,"Shortage of teaching staff for 3 semesters in Garden City, Phase 5.","Garden City, Phase 5",Medium,evidence_930.jpg,Assigned to Education Department team.,2025-08-11,Resolved
"Drainage Issue at Garden City, Phase 2 - 841","Complaint regarding drainage in Garden City, Phase 2.",Drainage,Public Works Department (PWD),"Drain cover missing, posing a risk to children in Garden City, Phase 2.","Garden City, Phase 2",Low,None,Assigned to Public Works Department (PWD) team.,2025-09-27,Resolved
"Drainage Issue at Garden City, Phase 2 - 799","Complaint regarding drainage in Garden City, Phase 2.",Drainage,Public Works Department (PWD),"Monsoon preparation for cleaning drains not started in Garden City, Phase 2.","Garden City, Phase 2",High,None,Assigned to Public Works Department (PWD) team.,2026-02-10,Resolved
